Handle,Rank,Country
jiangly,legendary grandmaster,China
ksun48,legendary grandmaster,Canada
Kevin114514,legendary grandmaster,China
Benq,legendary grandmaster,United States
tourist,legendary grandmaster,Belarus
Nachia,legendary grandmaster,Japan
ecnerwala,legendary grandmaster,United States
BurnedChicken,legendary grandmaster,Taiwan
Radewoosh,legendary grandmaster,Poland
heuristica,legendary grandmaster,Antigua and Barbuda
gyh20,legendary grandmaster,China
maroonrk,legendary grandmaster,Japan
dXqwq,legendary grandmaster,China
Um_nik,legendary grandmaster,United Kingdom
qiuzx,legendary grandmaster,China
VivaciousAubergine,legendary grandmaster,China
hos.lyric,legendary grandmaster,Japan
strapple,legendary grandmaster,China
potato167,legendary grandmaster,Japan
arvindf232,legendary grandmaster,Hong Kong
Otomachi_Una,legendary grandmaster,China
jeroenodb,legendary grandmaster,Netherlands
noimi,legendary grandmaster,Japan
maspy,legendary grandmaster,Japan
jiangbowen,legendary grandmaster,China
244mhq,legendary grandmaster,Belarus
Petr,legendary grandmaster,Switzerland
PEIMUDA,legendary grandmaster,China
Dominater069,legendary grandmaster,India
EnofTaiPeople,legendary grandmaster,China
RanRankeainie,legendary grandmaster,China
shiomusubi496,legendary grandmaster,Japan
dorijanlendvaj,legendary grandmaster,Croatia
kotatsugame,legendary grandmaster,Japan
Amoo_Safar,legendary grandmaster,Iran
bribritt,legendary grandmaster,Singapore
antontrygubO_o,international grandmaster,Ukraine
Golovanov399,international grandmaster,Russia
conqueror_of_tourist,international grandmaster,United States
Mapakaka,international grandmaster,China
JDScript0117,international grandmaster,China
yosupo,international grandmaster,Japan
cn449,international grandmaster,Japan
hitonanode,international grandmaster,Japan
__builtin_gjr,international grandmaster,Antarctica
Adam_GS,international grandmaster,Poland
peti1234,international grandmaster,Hungary
pigstd,international grandmaster,China
_wrz_,international grandmaster,China
A_G,international grandmaster,United States
tiger2005,international grandmaster,China
crazy_sea,international grandmaster,China
Kapt,international grandmaster,Russia
_lbw_,international grandmaster,China
PCTprobability,international grandmaster,Japan
SomethingNew,international grandmaster,Serbia
GroupMatrix,international grandmaster,China
jinqihao2026,international grandmaster,China
StarSilk,international grandmaster,China
Tlatoani,international grandmaster,Mexico
tute7627,international grandmaster,Japan
zhaohaikun,international grandmaster,China
wutongchun,international grandmaster,China
Rubikun,international grandmaster,Japan
xuanxuan001,international grandmaster,China
min_inf,international grandmaster,China
Endagorion,international grandmaster,Cyprus
Forested,international grandmaster,Japan
leinad2,international grandmaster,South Korea
_riceshower,international grandmaster,China
20333333333,international grandmaster,China
Sai_t,international grandmaster,China
Sugar_fan,international grandmaster,China
Maksim1744,international grandmaster,Russia
dlalswp25,international grandmaster,South Korea
dog_of_Nesraychan,international grandmaster,China
rqoi031,international grandmaster,China
antekb,international grandmaster,Poland
mickeyjung,international grandmaster,South Korea
fengqiyuka,international grandmaster,China
furry,international grandmaster,China
makrav,international grandmaster,Russia
yeminghan,international grandmaster,China
ORzyzRO,international grandmaster,China
peltorator,international grandmaster,Germany
qwerty787788,international grandmaster,Ukraine
grass8sheep,international grandmaster,China
tkacper,international grandmaster,Poland
TKT_YI,international grandmaster,Japan
siganai,international grandmaster,Japan
HaramuraNodoka,international grandmaster,Japan
A.K.E.E.,international grandmaster,China
Kude,international grandmaster,Japan
thenymphsofdelphi,international grandmaster,Vietnam
Nyaan,international grandmaster,Japan
PinkieRabbit,international grandmaster,China
MYFJCHX,international grandmaster,China
jason_sun,international grandmaster,United States
BalintR,international grandmaster,Canada
toam,international grandmaster,Japan
gloria_mundi,international grandmaster,Germany
EasonTAO,international grandmaster,China
yuto1115,international grandmaster,Japan
rin204,international grandmaster,Japan
superguymj,international grandmaster,China
mtsd,international grandmaster,Japan
Nextby,international grandmaster,China
vccaiji,international grandmaster,China
bachbach2007,international grandmaster,Vietnam
Raiden_Bosenmori_Mei,international grandmaster,China
79brue,international grandmaster,South Korea
Pyqe,international grandmaster,Indonesia
platter,international grandmaster,South Korea
zdc123456,international grandmaster,China
QwertyPi,international grandmaster,Hong Kong
plast,international grandmaster,South Korea
yaoyi,international grandmaster,China
sansen,international grandmaster,Japan
Fysty,international grandmaster,Taiwan
Egor,international grandmaster,Germany
lotusblume,international grandmaster,Germany
Isoeasy,international grandmaster,China
YuukiS,international grandmaster,United States
Imdie,international grandmaster,China
risujiroh,international grandmaster,Japan
thomaswmy,international grandmaster,China
OIer_kzc,international grandmaster,China
zltzlt,international grandmaster,China
riano_,international grandmaster,Japan
maxplus,international grandmaster,Russia
EJIC_B_KEDAX,international grandmaster,Russia
Hamed_Ghaffari,international grandmaster,Iran
dreamoon_love_AA,international grandmaster,Taiwan
LuCpp,international grandmaster,Germany
matchalover,international grandmaster,United States
rubbishZ,international grandmaster,China
Rafi22,international grandmaster,Poland
TadijaSebez,international grandmaster,Serbia
llloserqz,international grandmaster,China
Andreasyan,international grandmaster,Armenia
Noam527,international grandmaster,Israel
leukocyte,international grandmaster,China
Agreb,international grandmaster,Austria
WiwiHo,international grandmaster,Taiwan
as_dfsdf,international grandmaster,South Korea
anmichi,international grandmaster,Japan
oleh1421,international grandmaster,Ukraine
BilyHurington,international grandmaster,China
anpaio,international grandmaster,Romania
_l_l_,international grandmaster,China
abc864197532,international grandmaster,Taiwan
scli_kws,international grandmaster,North Korea
sevlll777,international grandmaster,Niue
APJifengc2,international grandmaster,China
pashka,international grandmaster,Kyrgyzstan
LeoPro,international grandmaster,Russia
tarjen,international grandmaster,China
MATDORI,international grandmaster,South Korea
ComPhyPark,international grandmaster,South Korea
Zanite,international grandmaster,Indonesia
PvPro,international grandmaster,Russia
maomao90,international grandmaster,Singapore
alireza_kaviani,grandmaster,Iran
nosajuil,grandmaster,China
IZONE,grandmaster,South Korea
orz,grandmaster,Russia
exgcd,grandmaster,China
SATSKY_2025target_LGM,grandmaster,China
liympanda,grandmaster,China
JeanBombeur,grandmaster,Vatican
vtb,grandmaster,China
systemStart,grandmaster,China
hhhyyyfff,grandmaster,China
qwerasdfzxcl,grandmaster,South Korea
ttamx,grandmaster,Thailand
bunH2O,grandmaster,China
AmShZ,grandmaster,Iran
noya2,grandmaster,Japan
Halzion,grandmaster,South Korea
golomb,grandmaster,United States
tabr,grandmaster,Japan
zidder,grandmaster,Armenia
chinerist,grandmaster,Japan
SeptaCube,grandmaster,United States
icecuber,grandmaster,Norway
Numbering,grandmaster,South Korea
AgafonovArtem,grandmaster,Russia
Watersphere,grandmaster,China
op__op,grandmaster,China
suyiheng,grandmaster,China
Hyperbolic,grandmaster,South Korea
keisuke6,grandmaster,Japan
ntherner,grandmaster,Romania
