Name,Country,Rank,Handle
Lingyu Jiang,China,legendary grandmaster,jiangly
Kevin Sun,Canada,legendary grandmaster,ksun48
Qiwen Xu,China,legendary grandmaster,Kevin114514
Benjamin Qi,United States,legendary grandmaster,Benq
Gennady Korotkevich,Belarus,legendary grandmaster,tourist
Yui Tamura,Japan,legendary grandmaster,Nachia
Andrew He,United States,legendary grandmaster,ecnerwala
Chung-Chun Huang,Taiwan,legendary grandmaster,BurnedChicken
Mateusz Radecki,Poland,legendary grandmaster,Radewoosh
Maksim Turevskii,,legendary grandmaster,turmax
Mingyang Deng,Antigua and Barbuda,legendary grandmaster,heuristica
,China,legendary grandmaster,gyh20
Riku Kawasaki,Japan,legendary grandmaster,maroonrk
Nuo Chen,China,legendary grandmaster,dXqwq
Aleksei Daniliuk,United Kingdom,legendary grandmaster,Um_nik
Zixuan Qiu,China,legendary grandmaster,qiuzx
DaDi Mi,China,legendary grandmaster,VivaciousAubergine
Yui Hosaka,Japan,legendary grandmaster,hos.lyric
Maohua Wang,China,legendary grandmaster,strapple
,Japan,legendary grandmaster,potato167
Yui Hin Arvin Leung,Hong Kong,legendary grandmaster,arvindf232
Junlin Ye,China,legendary grandmaster,Otomachi_Una
Jeroen Op de Beek,Netherlands,legendary grandmaster,jeroenodb
Kentaro Matsushita,Japan,legendary grandmaster,noimi
,Japan,legendary grandmaster,maspy
bowen jiang,China,legendary grandmaster,jiangbowen
Yahor Dubovik,Belarus,legendary grandmaster,244mhq
Petr Mitrichev,Switzerland,legendary grandmaster,Petr
Muda Pei,China,legendary grandmaster,PEIMUDA
Shreyan Ray,India,legendary grandmaster,Dominater069
VRmrq8fqvkFGSouCFCdV,,legendary grandmaster,Flamire
,China,legendary grandmaster,EnofTaiPeople
,China,legendary grandmaster,RanRankeainie
,Japan,legendary grandmaster,shiomusubi496
,,legendary grandmaster,cdxcdxcdxcdx
Dorijan Lendvaj,Croatia,legendary grandmaster,dorijanlendvaj
,Japan,legendary grandmaster,kotatsugame
Ali Safari,Iran,legendary grandmaster,Amoo_Safar
Brian Xiao,Singapore,legendary grandmaster,bribritt
Anton Trygub,Ukraine,international grandmaster,antontrygubO_o
Alexander Golovanov,Russia,international grandmaster,Golovanov399
Dilhan S,United States,international grandmaster,conqueror_of_tourist
,China,international grandmaster,Mapakaka
Mingrui Jiang,China,international grandmaster,JDScript0117
Kohei Morita,Japan,international grandmaster,yosupo
,Japan,international grandmaster,cn449
Ryotaro Sato,Japan,international grandmaster,hitonanode
Genshin Impact,Antarctica,international grandmaster,__builtin_gjr
Adam Gasienica-Samek,Poland,international grandmaster,Adam_GS
Péter Gyimesi,Hungary,international grandmaster,peti1234
,China,international grandmaster,pigstd
,China,international grandmaster,_wrz_
,United States,international grandmaster,A_G
Hu,China,international grandmaster,tiger2005
,China,international grandmaster,crazy_sea
Sergei Zolotarev,,international grandmaster,353cerega
Denis Mustafin,Russia,international grandmaster,Kapt
cute lbw,China,international grandmaster,_lbw_
