submission_id,user_id,rank,rating,country,language,problem_id,code,rank_bucket,code_length,line_count,avg_line_length,spaces_count,tabs_count,newlines_ratio,has_comments,uses_list_comp,uses_map,uses_lambda,imports_math,uses_recursion,variable_name_length,uses_scanner,has_class,uses_bits_stdc,uses_vector,uses_auto,compact_style
1,user_3548,1027,1022,USA,Python,CF394E,"// Solution
test_cases = int(input())
for i in range(test_cases):
    a, b = map(int, input().split())
    result = a + b
    print(result)",Newbie,139,6,23.166666666666668,26,0,0.04316546762589928,1,0.0,1.0,0.0,0.0,0,0,,,,,,
2,user_4525,1738,1728,USA,Java,CF148A,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int y=sc.nextInt();int s=0;for(int i=0;i<y;i++)s+=sc.nextInt();System.out.println(s);}}",Expert,190,2,95.0,10,0,0.010526315789473684,0,,,,,0,15,1.0,1.0,,,,
3,user_7333,2164,2170,India,Java,CF962A,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Master,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
4,user_8896,2273,2272,China,C++,CF671C,"#include <bits/stdc++.h>
using namespace std;
int main(){int s;cin>>s;vector<int>v(s);for(int i=0;i<s;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Master,166,3,55.333333333333336,8,0,0.018072289156626505,1,,,,,0,7,,,1.0,1.0,0.0,1.0
5,user_9089,1654,1650,Russia,Python,CF142A,"c = int(input())
print(sum(map(int, input().split())))",Expert,54,2,27.0,3,0,0.037037037037037035,0,0.0,1.0,0.0,0.0,0,0,,,,,,
6,user_9153,1574,1575,Japan,Java,CF700C,"// Fast solution
import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Expert,198,3,66.0,11,0,0.015151515151515152,1,,,,,0,28,1.0,1.0,,,,
7,user_1565,855,858,India,Java,CF526E,"// Solution
import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int count = scanner.nextInt();
        int sum = 0;
        for(int i = 0; i < count; i++) {
            sum += scanner.nextInt();
        }
        System.out.println(sum);
    }
}",Newbie,337,14,24.071428571428573,98,0,0.04154302670623145,1,,,,,0,5,1.0,1.0,,,,
8,user_9801,2025,2019,USA,Java,CF574C,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Master,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
9,user_1405,2259,2256,Brazil,C++,CF489B,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Master,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
10,user_4701,1391,1399,Russia,C++,CF571A,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int gcd(int a, int b) {
    if(b == 0) return a;
    return gcd(b, a % b);
}

int main() {
    int x, y;
    cin >> x >> y;
    cout << gcd(x, y) << endl;
    return 0;
}",Pupil,251,16,15.6875,56,0,0.06374501992031872,1,,,,,1,4,,,0.0,1.0,0.0,0.0
11,user_5216,1083,1089,Brazil,Python,CF254B,"// Solution
result = int(input())
arr = list(map(int, input().split()))
arr.sort()
for element in arr:
    print(element, end=' ')",Newbie,130,6,21.666666666666668,15,0,0.046153846153846156,1,0.0,1.0,0.0,0.0,0,0,,,,,,
12,user_5207,1979,1969,Japan,C++,CF964B,"#include <bits/stdc++.h>
using namespace std;
int main(){int t;cin>>t;while(t--){int x;cin>>x;cout<<x*x<<""\n"";}}",Master,112,3,37.333333333333336,6,0,0.026785714285714284,1,,,,,0,7,,,1.0,0.0,0.0,0.0
13,user_2652,892,889,India,Java,CF922B,"import java.util.*;

public class Solution {
    static int gcd(int a, int b) {
        if(b == 0) return a;
        return gcd(b, a % b);
    }
    
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y = sc.nextInt();
        System.out.println(gcd(x, y));
    }
}",Newbie,346,15,23.066666666666666,102,0,0.04335260115606936,0,,,,,1,4,1.0,1.0,,,,
